FileName	avg_note_duration(ms)	avg_notes_freq_modulation(Hz)	avg_notes_lower_freq(Hz)	avg_notes_upper_freq(Hz)	largest_note_duration(ms)	largest_notes_freq_modulation(Hz)	max_notes_freq(Hz)	min_notes_freq(Hz)	noise_threshold	num_notes	num_notes_per_syll	overall_notes_freq_range(Hz)	smallest_note_duration(ms)	smallest_notes_freq_modulation(Hz)	std_note_duration(ms)	std_notes_freq_modulation(Hz)
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180409_161600_clip.gzip	422.31746031746036	3017.368421052631	4792.543859649123	7766.929824561403	693.6507936507936	6017.543859649123	9800.0	2664.9122807017543	120	10	1.0	7178.070175438596	192.69841269841268	472.8070175438596	166.8337148905348	2109.9672833971285
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180722_170100_clip.gzip	419.8730158730158	3038.859649122807	4775.350877192984	7771.228070175439	685.0793650793651	5888.59649122807	9800.0	2621.9298245614036	120	10	1.0	7221.0526315789475	192.69841269841268	515.7894736842105	163.95507799909976	2060.474721292049
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_001.gzip	422.2222222222222	3013.0701754385964	4796.842105263158	7766.929824561403	693.6507936507936	5974.561403508772	9800.0	2664.9122807017543	120	10	1.0	7178.070175438596	192.69841269841268	472.8070175438596	166.80397468165353	2103.20946167288
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_01.gzip	421.1746031746032	3017.368421052631	4792.543859649123	7766.929824561403	688.8888888888888	5974.561403508772	9800.0	2664.9122807017543	120	10	1.0	7178.070175438596	193.015873015873	472.8070175438596	165.6327754019052	2096.0087694314316
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180409_161600_clip.gzip	419.14285714285717	2200.7017543859647	5016.052631578947	7173.77192982456	681.9047619047618	5286.8421052631575	9842.982456140351	2020.1754385964912	120	10	1.0	7865.789473684211	159.36507936507937	429.82456140350877	174.7649755363621	2008.0777080405426
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180722_170100_clip.gzip	416.9523809523809	2230.7894736842104	5003.157894736841	7190.964912280702	683.4920634920635	5286.8421052631575	9885.964912280702	2020.1754385964912	120	10	1.0	7908.771929824561	157.77777777777777	515.7894736842105	174.91331762415268	1991.4122356891296
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_11_WhiteNoise_001.gzip	419.0476190476191	2196.40350877193	5016.052631578947	7169.473684210527	681.9047619047618	5286.8421052631575	9842.982456140351	2020.1754385964912	120	10	1.0	7865.789473684211	159.36507936507937	429.82456140350877	174.57873806873587	2000.7706207469555
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_11_WhiteNoise_01.gzip	418.44444444444446	2209.2982456140353	5011.754385964913	7178.070175438596	681.9047619047618	5286.8421052631575	9885.964912280702	2020.1754385964912	120	10	1.0	7908.771929824561	159.04761904761904	472.8070175438596	174.35194046342315	1989.736463765883
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_12_S4A06622_20180409_161600_clip.gzip	449.4285714285714	1942.8070175438595	4109.122807017545	6008.947368421053	630.4761904761905	4126.315789473684	8209.649122807017	2063.157894736842	120	10	1.0	6189.473684210527	253.65079365079364	472.8070175438596	128.36254069989138	1086.7754189296736
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByNicole_Try3ForPaper\SegSyllsOutput_SynSongs_amp100_30p_12_WhiteNoise_001.gzip	464.5079365079365	1998.6842105263156	4091.929824561403	6047.631578947367	644.7619047619047	4212.2807017543855	8252.631578947368	2063.157894736842	120	10	1.0	6232.456140350877	258.4126984126984	472.8070175438596	136.0927034410779	1124.912913804226
