FileName	avg_note_duration(ms)	avg_notes_freq_modulation(Hz)	avg_notes_lower_freq(Hz)	avg_notes_upper_freq(Hz)	largest_note_duration(ms)	largest_notes_freq_modulation(Hz)	max_notes_freq(Hz)	min_notes_freq(Hz)	noise_threshold	num_notes	num_notes_per_syll	overall_notes_freq_range(Hz)	smallest_note_duration(ms)	smallest_notes_freq_modulation(Hz)	std_note_duration(ms)	std_notes_freq_modulation(Hz)
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_1.gzip	316.1269841269841	1861.1403508771932	4680.789473684209	6498.9473684210525	592.6984126984127	4513.157894736842	9628.070175438595	2106.1403508771928	120	10	1.0	7564.912280701754	97.77777777777777	601.7543859649122	152.37505867497094	1343.8921617461685
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10.gzip	406.69841269841265	2871.228070175439	4861.315789473685	7689.561403508771	657.7777777777777	5673.684210526316	9757.017543859649	2707.8947368421054	120	10	1.0	7092.105263157895	188.25396825396825	472.8070175438596	156.144832808336	2003.8820775857364
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180409_161600_clip.gzip	435.9047619047618	3142.0175438596493	4736.666666666666	7835.701754385966	727.6190476190476	6232.456140350877	9800.0	2621.9298245614036	120	10	1.0	7221.0526315789475	196.8253968253968	515.7894736842105	176.88263237655738	2179.2336046545875
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180722_170100_clip.gzip	358.0952380952381	2661.3304093567253	4359.1374269005855	6977.485380116958	698.0952380952381	6232.456140350877	9800.0	2578.9473684210525	120	12	1.2	7264.035087719298	11.746031746031745	214.91228070175438	221.38179565627044	2228.7258531878765
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_0001.gzip	447.26984126984127	3236.578947368421	4697.982456140351	7891.578947368422	753.968253968254	6447.368421052632	9800.0	2621.9298245614036	120	10	1.0	7221.0526315789475	199.68253968253967	558.7719298245614	185.4598990338878	2260.843598502253
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_001.gzip	422.2222222222222	3013.0701754385964	4796.842105263158	7766.929824561403	693.6507936507936	5974.561403508772	9800.0	2664.9122807017543	120	10	1.0	7178.070175438596	192.69841269841268	472.8070175438596	166.80397468165353	2103.20946167288
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_01.gzip	447.14285714285705	3236.578947368421	4697.982456140351	7891.578947368422	752.3809523809523	6447.368421052632	9842.982456140351	2621.9298245614036	120	10	1.0	7264.035087719298	199.36507936507937	558.7719298245614	185.26155643649562	2256.5721247460215
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_1.gzip	299.6560846560846	2256.5789473684213	4960.891812865498	7174.488304093568	539.047619047619	5243.859649122807	9757.017543859649	2664.9122807017543	120	12	1.2	7135.087719298245	13.015873015873016	257.89473684210526	171.80288663902508	1854.5957452873986
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_11.gzip	419.01587301587307	2200.7017543859647	5016.052631578947	7173.77192982456	682.5396825396825	5286.8421052631575	9842.982456140351	2020.1754385964912	120	10	1.0	7865.789473684211	159.04761904761904	429.82456140350877	174.7540441664253	2008.0777080405426
C:\Users\abiga\Box Sync\Abigail_Nicole\ChipperPaper\SyntheticSongs\ChipperedByMegan_Try1ForPaper_basedOn20190528\SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180409_161600_clip.gzip	419.14285714285717	2200.7017543859647	5016.052631578947	7173.77192982456	681.9047619047618	5286.8421052631575	9842.982456140351	2020.1754385964912	120	10	1.0	7865.789473684211	159.36507936507937	429.82456140350877	174.7649755363621	2008.0777080405426
