FileName	avg_silence_duration(ms)	avg_syllable_duration(ms)	avg_sylls_freq_modulation(Hz)	avg_sylls_lower_freq(Hz)	avg_sylls_upper_freq(Hz)	bout_duration(ms)	largest_silence_duration(ms)	largest_syllable_duration(ms)	largest_sylls_freq_modulation(Hz)	max_sylls_freq(Hz)	mean_syllable_stereotypy	min_sylls_freq(Hz)	num_syllable_per_bout_duration(1/ms)	num_syllables	num_syllables_per_num_unique	num_unique_syllables	overall_sylls_freq_range(Hz)	sequential_repetition	smallest_silence_duration(ms)	smallest_syllable_duration(ms)	smallest_sylls_freq_modulation(Hz)	std_silence_duration(ms)	std_syllable_duration(ms)	std_syllable_stereotypy	std_sylls_freq_modulation(Hz)	syll_correlation_threshold	syllable_pattern	syllable_stereotypy
SegSyllsOutput_SynSongs_amp100_30p_1.gzip	304.9382716049383	324.2222222222222	1985.7894736842104	4620.6140350877195	6563.421052631578	5986.666666666666	484.76190476190476	613.3333333333333	4685.087719298245	9757.017543859649		2063.157894736842	0.001670378619153675	10	1.0	10	7736.8421052631575	0.0	162.53968253968253	100.31746031746032	687.719298245614	101.50307906407971	157.87884938317885		1372.4205435981107	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10.gzip	269.4885361552028	447.3015873015873	3232.2807017543864	4697.982456140351	7887.2807017543855	6898.412698412698	429.8412698412698	753.968253968254	6447.368421052632	9800.0		2621.9298245614036	0.0014496088357109987	10	1.0	10	7221.0526315789475	0.0	86.98412698412697	199.68253968253967	558.7719298245614	131.06983135515966	185.51010044872146		2256.3674364812227	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180409_161600_clip.gzip	269.347442680776	447.4285714285714	3236.5789473684213	4697.982456140351	7891.578947368422	6898.412698412698	428.88888888888886	754.2857142857142	6447.368421052632	9800.0		2621.9298245614036	0.0014496088357109987	10	1.0	10	7221.0526315789475	0.0	86.98412698412697	200.0	558.7719298245614	131.02221429101292	185.62947158106317		2260.843598502253	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180722_170100_clip.gzip	281.02292768959427	436.47619047619054	3146.315789473684	4706.578947368421	7809.912280701754	6893.9682539682535	449.20634920634916	734.6031746031746	6232.456140350877	9800.0		2578.9473684210525	0.0014505433781543562	10	1.0	10	7264.035087719298	0.0	102.53968253968253	198.4126984126984	558.7719298245614	133.1047528357167	179.57571874146245		2134.1509683396325	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_0001.gzip	269.52380952380946	447.26984126984127	3236.5789473684213	4697.982456140351	7891.578947368422	6898.412698412698	430.1587301587301	753.968253968254	6447.368421052632	9800.0		2621.9298245614036	0.0014496088357109987	10	1.0	10	7221.0526315789475	0.0	86.98412698412697	199.68253968253967	558.7719298245614	131.1184132637373	185.45989903388784		2260.843598502253	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_001.gzip	269.77072310405646	447.0476190476191	3232.2807017543864	4697.982456140351	7887.2807017543855	6898.412698412698	430.1587301587301	752.3809523809523	6447.368421052632	9800.0		2621.9298245614036	0.0014496088357109987	10	1.0	10	7221.0526315789475	0.0	87.30158730158729	199.68253968253967	558.7719298245614	131.06736440870986	185.13431198421029		2256.3674364812227	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_01.gzip	281.48148148148147	436.1587301587301	3142.0175438596493	4732.368421052633	7831.403508771929	6894.920634920634	459.04761904761904	724.1269841269841	6232.456140350877	9800.0		2621.9298245614036	0.0014503430176343295	10	1.0	10	7221.0526315789475	0.0	96.82539682539682	196.5079365079365	515.7894736842105	133.95386592412757	176.30578872670617		2180.8343623770743	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11.gzip	342.43386243386243	439.14285714285717	2351.140350877193	4938.684210526315	7246.842105263158	7473.333333333333	519.6825396825396	703.4920634920635	5716.666666666667	9928.947368421053		2020.1754385964912	0.0013380909901873328	10	1.0	10	7951.754385964912	0.0	54.92063492063492	164.12698412698413	515.7894736842105	160.96177299543893	185.69634969689992		2090.7380279513345	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180409_161600_clip.gzip	334.77954144620816	446.5079365079365	2411.315789473684	4904.298245614036	7272.631578947367	7478.095238095238	511.1111111111111	711.1111111111111	5845.6140350877195	9928.947368421053		1977.1929824561403	0.001337238920020377	10	1.0	10	7994.736842105263	0.0	45.39682539682539	165.7142857142857	601.7543859649122	160.09438441169326	190.01874818176182		2113.529921525037	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180722_170100_clip.gzip	362.50440917107585	419.8730158730159	2230.7894736842104	5003.157894736841	7190.964912280702	7461.269841269841	541.9047619047619	683.4920634920635	5286.8421052631575	9885.964912280702		2020.1754385964912	0.0013402544356039656	10	1.0	10	7908.771929824561	0.0	78.73015873015872	157.77777777777777	515.7894736842105	163.7524851818628	175.6975292686362		1991.4122356891296	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
